Cantidad de gimnasios, Cantidad de pokeparadas, Capacidad mochila, Diferencia
6, 5, 131, 13.70736
6, 5, 131, 0.654798
6, 5, 131, 6.93939
6, 5, 132, 19.986618
6, 5, 132, 4.152528
6, 5, 132, 8.230121
6, 5, 132, 13.158631
6, 5, 133, 6.358394
6, 5, 133, 1.404918
6, 5, 133, 6.438061
6, 5, 133, 4.556726
6, 5, 134, 4.863869
6, 5, 134, 1.380315
6, 5, 134, 4.634413
6, 5, 134, 0.419212
6, 5, 135, 4.106813
6, 5, 135, 3.301251
6, 5, 135, 2.180249
6, 5, 135, 9.931954
6, 5, 136, 8.44164
6, 5, 136, 4.200447
6, 5, 136, 4.29094
6, 5, 136, 0.0
6, 5, 137, 10.608202
6, 5, 137, 8.044042
6, 5, 137, 8.104496
6, 5, 137, 17.010937
6, 5, 138, 9.548901
6, 5, 138, 10.975595
6, 5, 138, 0.0
6, 5, 138, 6.951532
6, 5, 139, 8.431104
6, 5, 139, 6.747753
6, 5, 139, 10.82391
6, 5, 139, 6.772539
6, 5, 140, 11.343796
6, 5, 140, 5.585787
6, 5, 140, 4.025229
6, 5, 140, 3.614165
6, 5, 141, 13.049728
6, 5, 141, 3.304401
6, 5, 141, 6.052991
6, 5, 141, 7.919325
6, 5, 142, 8.462681
6, 5, 142, 1.541893
6, 5, 142, 6.661279
6, 5, 142, 4.112891
6, 5, 143, 0.309858
6, 5, 143, 2.887038
6, 5, 143, 4.811602
6, 5, 143, 6.914598
6, 5, 144, 21.750379
6, 5, 144, 8.462527
6, 5, 144, 10.256422
6, 5, 144, 8.86415
6, 5, 145, 13.989243
6, 5, 145, 4.852529
6, 5, 145, 5.652618
6, 5, 145, 6.795187
6, 5, 146, 1.979495
6, 5, 146, 10.43896
6, 5, 146, 7.318666
6, 5, 146, 6.355187
6, 5, 147, 14.948595
6, 5, 147, 0.0
6, 5, 147, 0.0
6, 5, 147, 5.133964
6, 5, 148, 5.22861
6, 5, 148, 5.659133
6, 5, 148, 3.136251
6, 5, 148, 2.924507
6, 5, 149, 6.446964
6, 5, 149, 6.595898
6, 5, 149, 8.401916
6, 5, 149, 4.209996
6, 5, 150, 5.402519
6, 5, 150, 6.264755
6, 5, 150, 4.585098
6, 5, 150, 5.959656
6, 5, 151, 3.967609
6, 5, 151, 8.89866
6, 5, 151, 9.496128
6, 5, 151, 2.081229
6, 5, 152, 8.951477
6, 5, 152, 7.603849
6, 5, 152, 7.221903
6, 5, 152, 7.848534
6, 5, 153, 15.764204
6, 5, 153, 5.433621
6, 5, 153, 0.0
6, 5, 153, 5.619494
6, 5, 154, 9.193851
6, 5, 154, 1.754901
6, 5, 154, 8.83294
6, 5, 154, 9.15061
6, 5, 155, 9.920485
6, 5, 155, 6.3539
6, 5, 155, 2.675247
6, 5, 155, 4.931184
6, 5, 156, 7.994541
6, 5, 156, 16.525296
6, 5, 156, 5.176714
6, 5, 156, 1.634896
6, 5, 157, 0.0
6, 5, 157, 9.986819
6, 5, 157, 2.158381
6, 5, 157, 6.14109
6, 5, 158, 6.674274
6, 5, 158, 7.12018
6, 5, 158, 6.863359
6, 5, 158, 10.035871
6, 5, 159, 9.78707
6, 5, 159, 1.935505
6, 5, 159, 14.353723
6, 5, 159, 4.897476
6, 5, 160, 2.724285
6, 5, 160, 18.278163
6, 5, 160, 1.0
6, 5, 160, 5.688314
6, 5, 161, 1.943665
6, 5, 161, 9.065652
6, 5, 161, 11.549829
6, 5, 161, 5.475763
6, 5, 162, 8.679509
6, 5, 162, 10.582628
6, 5, 162, 8.343796
6, 5, 162, 10.002489
6, 5, 163, 2.862951
6, 5, 163, 4.993136
6, 5, 163, 14.179816
6, 5, 163, 4.723589
6, 5, 164, 10.527864
6, 5, 164, 10.842661
6, 5, 164, 14.116947
6, 5, 164, 6.433979
6, 5, 165, 6.627488
6, 5, 165, 2.289804
6, 5, 165, 0.0
6, 5, 165, 5.394448
6, 5, 166, 3.197256
6, 5, 166, 2.32389
6, 5, 166, 2.316431
6, 5, 166, 7.862229
6, 5, 167, 5.596648
6, 5, 167, 5.482399
6, 5, 167, 8.899495
6, 5, 167, 10.483488
6, 5, 168, 5.123106
6, 5, 168, 3.149097
6, 5, 168, 4.719016
